revised   word
caption ception
with 25th
Fuchs fuchs
Bev bev
Oswald oswalds
tji tjhi
Meyer meyer
Weissmann weissmann
thief thiel
Pfeffer pfenffer
zihar zibar
jewellery jewellry
Multani multani
cingalese singalese
as ns
Herzog herzog
passengers passsengers
I 1
correct corract
of 50
comes gomes
Powell powell
bedstead boustead
conn contn
half holf
been bfcen
orly orrly
is 4s
noteworthy nosworthy
adj audj
nicol ricol
greenwax greenwas
I 1
consisted coasisted
a 9
is 2s
a 3
faire farre
Pestalozzi pestalozza
golfclub golf-club
of 11
client lient
Aubyn aubyn
nutant jutant
ogive togive
appointments appnintments
Sitwell sitwell
McLoughlin meloughlin
JD jd
Ferguson ferguson
e ej
tickle tickoll
with 14th
Malcolm malcolm
louise louises
Osborn osborn
Oxfordshire oxfordshire
client lient
Dunmore dugmore
wales waless
cornwall cornwalls
Sutherland sutherland
Staffordshire staffordshire
Mai mai
Macdonald macdonald
Maj maj
s s0
Chu chu
ISC isc
Jarratt barratt
DSc fsc
HH hh
ideal aiedal
RL rl
memorandum emokandum
escort escott
ISC isc
good nood
Thu thu
major majorpr
nazi mnazi
Mosa moja
trembling tremblin
driving driying
full fnll
I 1
but itbut
I 1
and qnd
butte butthe
Imre imre
I 1
Gliere wliere
I 1
with 27th
february februabv
am 8am
am 8am
of 21
of 80
a 7
a 0
a 5
of 22
left 00ft
of 23
of 24
of 80
of 25
go 7g0
of 80
of 81
a 0
a 0
a 3
g 2g
Soo soo
w 0w
in nn
GG gg
UW uw
of 27
s s32
go 7g5
of 88
a 8
UU uu
sise sisf
a 3
Haig hvig
short hshurt
hath hfth
a 5
hrer hrhr
will rwcll
Cyril ctril
NCR ncr
pul 3ul
a 3
a 5
phil qphrl
stg stgi
a 4
vill vqsll
april qaqpril
html htclm
vr qvr
qu q4
sht 5ht
rill rilrl
roi rli
a 6
met meti
small smrtl
a 3
DRI dri
CTT ctt
USFL uzfl
Collison collinson
fila rila
chi 3vhi
SLC clc
ice icr
and und
last 1ast
a 8
ralliers falliers
th 1th
ralliers falliers
has lias
ISF isf
erupt eupt
Rodrick brodrick
martyrs myrtyrs
of 66
lie lje
yesterday yesterdav
rd 3rd
th 6th
germans germanys
est 1st
below buelow
Rudyard rudyard
killings kiplings
of 11
Hershell herchell
legate legite
partie patrie
franchise irancdise
th 1th
territory territorv
piquant piquart
th 6th
piquant piquart
charged oharged
of 40
Toulon toulon
tenty tlnty
Lubet loubet
riviera reviera
longer lonbet
Ningpo niugpo
Rodrick brodrick
Newchwang newchwaug
thereanent tbereanent
th 1th
it 6t
mood moou
there therey
marks marvs
a 2
a 8
a 8
wonderful wonderfnl
sustain svstein
organs ergass
with witii
hardheaded hard-headed
less lews
caravan enravan
Olton olton
as ns
possess possesss
WiFi wifi
physical nhysica
field fievly
and anv
training trainine
as ns
Ina ina
brother brolher
finance finaneo
practically praetieally
complications oomplicalions
elementary elemcutary
Tedi teii
safety safetv
intellectual tntollectual
org ortgm
has lias
IU iu
approximately approxmatcly
to t0
ills llls
Parlier parlielr
tea tta
reason eason
brought biought
a 6
ill ilm
Ati ati
stab atab
Oise oisv
clay swclay
phoneier honeier
thought throughto
let lej
Ve 1ve
Macdonald macdonald
Macdonald macdonalds
Dravida dravids
ilth i7th
company companys
Sokoto sokoto
Bornu bornou
of 0f
Bengasi bengasi
lie tlie
eat eaat
Wadai wadai
Darfur darfur
khartoum kartoum
wili witli
moneygrubber money-grubber
are arc
southeast south-east
thereout therebut
returns roturns
of 16
two tlwvo
preheminence pre-eminence
hundredweight hundred-weight
it 9t
consists gonsists
themselves themaelves
lookout look-out
Fezzan fezzan
Ney ney
tricot tricst
dodge dodgea
sends seneds
adoors adools
compromise compromiso
grandchildren grand-children
TLI tliy
I 1
chronic chronicu
Kirk kirk
Kew kew
Lankester lankester
boulanger boulenger
thoroughly thoronghly
molluscs molluics
jellyfish jelly-fish
moore moores
of uf
Nyassa nyassa
Shira shirwa
mwera mwero
white whiejt
known kpown
Ruwenzori rowenzori
moore moores
expedition expdition
dreading dreadging
society societys
these theso
beira beiras
Ashby ashby
wellknown well-known
professional professonal
Zambesi zambesi
interviewed inerviewed
the thet
ton tion
of 10
said satid
element tltment
country countiy
a 4
a 8
african africas
cheapest clieapest
a 2
is 7s
Nyaya nyama
aid atid
conditions oonditions
tobacco tobocco
of 18
tipit tripit
case caso
THC thc
as ns
of 28
Zambesi zambesi
watershed water-shed
seaboard sea-board
pungie pungwe
occasions aecasions
dances dences
commandant commandante
lui luiz
Warde wurde
lieut lieute
under unter
of 10
size sitze
makes mukesa
and und
weren deren
inhaler inhaber
Kaufmann kaufmann
Georg georg
mules muhesa
of 23
february februar
Grenfell grenfells
must 21st
has lias
Delambre delamere
Delambre delambre
looks loolbs
readily rendili
Baringo baringo
