revised   word
of 10
and ami
has lias
I 1
times simes
sentence senenge
I 1
as ns
are arc
tooart tooare
being leing
are arc
warn warni
puris purkiss
refused refusedto
puris purkiss
puris purkiss
and ami
Timi timi
caravans cnravnns
sending sendin
any pany
are arc
facilitate facilitat
shakos chakos
I 1
over cverv
union uiion
munda umnda
claims dliams
as ns
Sunda sundu
of 13
baring baringo
Macpherson macpherson
Macdonald macdonald
as ns
and ami
medical meilical
emit emin
I 1
days davs
of 25
I 1
still slmll
generally generallv
emit emin
Latt hlatt
emit emin
of 14
that tiiat
trend etrendi
formerly iormerly
equatorial equatoria
a 0
emit emin
mane manve
divan bivan
acad avad
emit emin
drain dndrain
lavalli kavalli
stanley stanleys
Manyema manyemas
Manyema manyemas
Ismail ismail
Habib habib
of 12
of 13
medially omeially
probably prohably
lavalli kavalli
lavalli kavalli
emit emin
emit emin
reason rclson
worthier tortheir
Kerkhoven kerchoven
Mahdists mahdists
emit emin
emit emin
Rene rene
Cheney cheney
HLL hll
qto qtj
fleet eflyet
VJ vpj
to jto
Vibram vi8ram
Ibrahim ebrahim
company companys
McDermott mcdermott
and 22nd
fire yfiri
naevi nfegi
ll 5l
DDL ddl
Ajit ajiy
hawk yhwwk
mirth imrth
I 1
egg mgg
hen hien
stead vsttad
eyrir yrir
a 5
IIL yiil
hyd uyd
trusty trysty
YST ysy
lived lilvjd
mi ymi
GLC glh
happy ahtpy
city yiyy
Ve 5v3
th 1h
chest dhlst
day dly
ll yl
TW tw
sal sfl
Dai dai
iodi yioji
sinai silai
no 2no
of 69
with 24th
caps cjjs
patte 0atte
with 24th
Reuters reuters
with 17th
Buxton buxton
clause clausa
a 2
has lias
of 47
Sunderland sunderland
acts acks
with 18th
a 2
with 80th
has lias
Buxton buxton
on onl
reined reined1
Zululand zululand
with 20th
Buxton buxton
Zululand zululand
rennes ennes
Everson leverson
with 29th
and 22nd
excitement exitement
with 19th
ton tion
son s3n
Tralee tralee
of olf
a 3
of 11
lo ulo
Duhl tuhl
of 41
trt trt3
vill vimldl
Hu hu
VHDL vhml
VJ vj
Ilya dlya
motrin motrii
vow vtw
step stfej
writ dwrit
lull oljll
tell ttlfl
crops cropsl
owl swl
it itl
Dli dlih
NWS nws
AFI yfi
slit slmt
WWFO wwfl
a 6
itll itwl
iris irii
stirs ystiys
Hu hu
Hua hua
putty iutety
ho hlo
AFI yfi
Ji ji
Iila diila
Wyld yyld
field uieldl
Halsy hlsy
rid rii
life ylifl
hdl 6dl
QA qa
Qq qq
youd yuud
hit hiit
DFI dfii
his hss
txt txl
awiwi aiwi
HLL hlfl
UU uu
till tihl
am xm
digit digthi
visit yitit
iiwi iqwi
said sqid
ti ctqi
NHL yhl
Irra irua
th yh
ll yl
ti qti
qui qfi
ni yni
mud nud
DH dh
he hx
Hu hu
Lydia ydia
iva iya
Wahl wlahl
his hijs
fiji qiji
ta yta
YY yy
kiyi qiyi
ill ihl
ll 5l
html qtfl
myxa iyxa
HLA hla
SQL sqhl
QA qa
taxi ytaai
RTU rtu
of 30
jail jjhl
Yul yudl
IDL ijdl
NHL yhl
qui qyuyi
liti licti
DDL ddl
d 4d
till tiqdl
Attah attsh
Ailis aiyis
hat haat
iodi yiadi
fiji yiji
Sth sthi
limb yiqb
qis qyis
aioli aiali
Didi didi
mail maqihl
NHL yhl
tied tibd
cut ctu
tell tehl
taar taa3
fly iflyy
FYI yyi
y yq
fit dfit
tide tidt
dye dyi
FYI yyi
DRI dri
dye dyi
QET qqt
di 6di
ho hlo
YTD ytd
by 5y
DRI drti
dishy disiy
drift diisft
fly ifly
till tily
in i41
DDI dydi
IVDT svdt
qis qiy
Cyril yiyril
ho hlo
DIY 5iy
yid yyid
aflat aflyt
si ysi
midst yiddt
hid yhdi
HIH hih
titi titm
of 41
milly mvlly
hush hlshl
deals dtals
html htmdl
sri srqi
tell tqlhl
SJ sj
is isw
will dwihl
still atihl
sd ysd
arab aaiab
ni yni
md ymd
anti anai
FYI yyi
ilii iqiyi
dat dyt
ADT 3adt
htm htj
Yul ydl
jail jaiivl
to dto
ll 5l
CZ cz
omit oiiat
anti nti
jug juxg
AIDDE aiddi
MDI mdi
tupi tuii
inst indt
OJT 5jt
odd odydy
roll rtll
Frisii drisii
life lifl
drugs drurs
DW dw
TTL rttl
its uitsl
tm tmt
Bedford bedford
its itms
HMS hms
HMS hms
HMS hms
HMS hms
of 41
him 10m
lie lic
of 13
of 01
ICRC 1crc
shy shly
PITI yi5i
UDT 5dt
host hlst
sal s3l
a 8
till tlil
VTS vts
TDD tddl
sly slu
didst dldsl
sal sfl
awdl dwdl
did diydl
to dto
val vafl
yon ytn
