revised   word
of 10
and ami
has lias
I 1
Simes simes
Senenge senenge
I 1
as ns
are arc
tooart tooare
being leing
are arc
Dagoreti dagoretii
Rugulu kugulu
warn warni
puris purkiss
Waniake waniacke
refused refusedto
puris purkiss
puris purkiss
Waniake waniacke
Kibwezi kibwczi
and ami
Timi timi
caravans cnravnns
sending sendin
any pany
are arc
facilitate facilitat
Machakos machakos
Kavirondo kavirondo
shakos chakos
I 1
over cverv
union uiion
unda umnda
claims dliams
as ns
Kavirondo kavirondo
Sundu sundu
of 13
Baringo baringo
Macpherson macpherson
Macdonald macdonald
as ns
Kavirondo kayirondo
and ami
medical meilical
Emin emin
I 1
days davs
Kavirondo kavirondo
of 25
I 1
still slmll
generally generallv
Emin emin
Latt hlatt
Emin emin
of 14
that tiiat
trend etrendi
formerly iormerly
equatorial equatoria
a 0
Emin emin
mane manve
divan bivan
Arvad avad
Emin emin
Kitunzi kitunzi
drain dndrain
Kavalli kavalli
Masamboni masamboni
stanley stanleys
Manyemas manyemas
Manyemas manyemas
Ismail ismail
Habib habib
Masamboni masambonie
of 12
of 13
medially omeially
probably prohably
Kavalli kavalli
Kavalli kavalli
Emin emin
Emin emin
reason rclson
worthier tortheir
Kerkhoven kerchoven
Mahdists mahdists
Emin emin
Emin emin
Rene rene
Cheney cheney
HLL hll
qtr qtj
fleet eflyet
vp vpj
to jto
Vibram vi8ram
Ibrahim ebrahim
company companys
McDermott mcdermott
and 22nd
fire yfiri
naevi nfegi
ll 5l
DDL ddl
Ajay ajiy
hawk yhwwk
mirth imrth
I 1
egg mgg
hen hien
stead vsttad
ymir yrir
a 5
IIL yiil
hyd uyd
trusty trysty
YY ysy
lived lilvjd
ami ymi
gle glh
happy ahtpy
city yiyy
Ve 5v3
th 1h
chest dhlst
day dly
ll yl
TW tw
sal sfl
Dai dai
iodi yioji
sila silai
no 2no
of 69
with 24th
caps cjjs
patte 0atte
with 24th
Reuters reuters
with 17th
Buxton buxton
clause clausa
a 2
has lias
of 47
Sunderland sunderland
acts acks
with 18th
a 2
with 80th
has lias
Buxton buxton
on onl
reined reined1
Zululand zululand
Dinizulus dinizulus
with 20th
Buxton buxton
Dinizulu dinizulu
Zululand zululand
tennes ennes
Elverson leverson
with 29th
and 22nd
excitement exitement
with 19th
ton tion
son s3n
Tralee tralee
of olf
a 3
of 11
lo ulo
Duhl tuhl
of 41
trt trt3
vill vimldl
Hu hu
VHDL vhml
VJ vj
DLA dlya
motrin motrii
vow vtw
step stfej
writ dwrit
lull oljll
tell ttlfl
crops cropsl
sal swl
it itl
Dli dlih
NWS nws
Yf yfi
slit slmt
WWFO wwfl
a 6
itel itwl
iris irii
stirs ystiys
Hu hu
Hua hua
putty iutety
ho hlo
Yf yfi
Ji ji
Iila diila
yald yyld
field uieldl
Elsy hlsy
rid rii
life ylifl
ldl 6dl
QA qa
Qq qq
yaud yuud
hit hiit
DFI dfii
his hss
txt txl
kiwi aiwi
HLL hlfl
UU uu
till tihl
am xm
digit digthi
visit yitit
iiwi iqwi
said sqid
ti ctqi
BHL yhl
Irus irua
th yh
ll yl
ti qti
qui qfi
ni yni
mud nud
DH dh
he hx
Hu hu
Lydia ydia
iyo iya
Wahl wlahl
his hijs
fiji qiji
ta yta
YY yy
kiyi qiyi
ill ihl
ll 5l
html qtfl
myxa iyxa
HLA hla
schl sqhl
QA qa
taxi ytaai
RTU rtu
of 30
jail jjhl
Yul yudl
IDL ijdl
BHL yhl
qui qyuyi
licit licti
DDL ddl
d 4d
till tiqdl
Attah attsh
aitis aiyis
hat haat
iodi yiadi
fiji yiji
Sethi sthi
limb yiqb
quis qyis
Akali aiali
Didi didi
mail maqihl
BHL yhl
tied tibd
cut ctu
tell tehl
taal taa3
fly iflyy
yoi yyi
y yq
fit dfit
tide tidt
dye dyi
yoi yyi
DRI dri
dye dyi
qqv qqt
di 6di
ho hlo
YTD ytd
by 5y
DRI drti
disty disiy
drift diisft
fly ifly
till tily
in i41
Dodi dydi
VDT svdt
QIC qiy
Cyril yiyril
ho hlo
Iy 5iy
yid yyid
aflat aflyt
si ysi
midst yiddt
hid yhdi
HIH hih
titi titm
of 41
Melly mvlly
hush hlshl
deals dtals
html htmdl
sri srqi
tell tqlhl
SJ sj
is isw
will dwihl
still atihl
sd ysd
arab aaiab
ni yni
md ymd
anti anai
yoi yyi
ilii iqiyi
dot dyt
LADT 3adt
htm htj
ldl ydl
jail jaiivl
to dto
ll 5l
CZ cz
omit oiiat
anti nti
jug juxg
AIDDE aiddi
MDI mdi
tupi tuii
inst indt
OJT 5jt
odd odydy
roll rtll
Frisii drisii
life lifl
drugs drurs
DW dw
RBTL rttl
